iter	Passed	Remaining
437	1340	1720
438	1343	1716
439	1346	1713
440	1348	1709
441	1350	1705
442	1353	1701
443	1355	1697
444	1358	1694
445	1360	1690
446	1363	1686
447	1365	1682
448	1368	1679
449	1370	1675
450	1373	1672
451	1376	1668
452	1379	1665
453	1381	1661
454	1384	1658
455	1386	1654
456	1389	1650
457	1391	1647
458	1394	1643
459	1396	1639
460	1399	1636
461	1401	1632
462	1404	1628
463	1407	1625
464	1409	1621
465	1412	1618
466	1414	1614
467	1417	1610
468	1419	1607
469	1422	1603
470	1424	1600
471	1427	1596
472	1429	1592
473	1432	1589
474	1434	1585
475	1437	1582
476	1439	1578
477	1442	1575
478	1445	1572
479	1447	1568
480	1450	1565
481	1452	1561
482	1455	1558
483	1458	1554
484	1460	1550
485	1463	1547
486	1465	1544
487	1468	1540
488	1470	1537
489	1473	1533
490	1476	1530
491	1479	1527
492	1481	1523
493	1484	1520
494	1486	1516
495	1489	1513
496	1491	1509
497	1494	1506
498	1497	1503
499	1499	1499
500	1502	1496
501	1504	1492
502	1507	1489
503	1509	1485
504	1512	1482
505	1514	1478
506	1517	1475
507	1519	1471
508	1522	1468
509	1524	1464
510	1527	1462
511	1530	1458
512	1533	1455
513	1535	1452
514	1538	1448
515	1540	1445
516	1543	1442
517	1546	1438
518	1549	1435
519	1551	1432
520	1554	1429
521	1556	1425
522	1559	1422
523	1561	1418
524	1564	1415
525	1566	1412
526	1569	1408
527	1572	1405
528	1574	1402
529	1577	1398
530	1579	1395
531	1582	1391
532	1584	1388
533	1587	1385
534	1589	1381
535	1592	1378
536	1594	1374
537	1597	1371
538	1599	1368
539	1603	1365
540	1605	1362
541	1608	1358
542	1610	1355
543	1613	1352
544	1615	1348
545	1618	1345
546	1620	1342
547	1623	1338
548	1626	1335
549	1628	1332
550	1631	1329
551	1633	1325
552	1636	1322
553	1638	1319
554	1641	1315
555	1643	1312
556	1646	1309
557	1648	1306
558	1651	1303
559	1654	1299
560	1656	1296
561	1659	1293
562	1661	1289
563	1664	1286
564	1666	1283
565	1669	1280
566	1672	1276
567	1674	1273
568	1677	1270
569	1679	1267
570	1682	1263
571	1684	1260
572	1686	1257
573	1689	1254
574	1692	1250
575	1695	1247
576	1697	1244
577	1700	1241
578	1702	1238
579	1705	1235
580	1708	1231
581	1710	1228
582	1713	1225
583	1715	1222
584	1718	1218
585	1720	1215
586	1723	1212
587	1726	1209
588	1728	1206
589	1731	1203
590	1733	1199
591	1736	1196
592	1739	1193
593	1741	1190
594	1744	1187
595	1746	1184
596	1749	1181
597	1752	1177
598	1754	1174
599	1757	1171
600	1759	1168
601	1762	1165
602	1764	1161
603	1767	1158
604	1770	1155
605	1772	1152
606	1775	1149
607	1777	1146
608	1780	1143
609	1783	1139
610	1785	1136
611	1788	1133
612	1791	1130
613	1793	1127
614	1796	1124
615	1798	1121
616	1801	1118
617	1804	1115
618	1806	1112
619	1809	1108
620	1811	1105
621	1814	1102
622	1817	1099
623	1819	1096
624	1822	1093
625	1824	1090
626	1827	1087
627	1830	1084
628	1832	1080
629	1835	1077
630	1837	1074
631	1840	1071
632	1842	1068
633	1845	1065
634	1847	1062
635	1850	1059
636	1853	1056
637	1855	1052
638	1858	1049
639	1860	1046
640	1863	1043
641	1865	1040
642	1868	1037
643	1870	1034
644	1873	1031
645	1875	1027
646	1878	1025
647	1881	1021
648	1883	1018
649	1886	1015
650	1888	1012
651	1891	1009
652	1893	1006
653	1896	1003
654	1898	1000
655	1901	997
656	1904	994
657	1906	991
658	1909	988
659	1911	984
660	1914	981
661	1917	978
662	1920	975
663	1922	973
664	1925	969
665	1927	966
666	1930	963
667	1932	960
668	1935	957
669	1938	954
670	1940	951
671	1943	948
672	1945	945
673	1948	942
674	1950	939
675	1953	936
676	1956	933
677	1958	930
678	1961	927
679	1963	924
680	1966	921
681	1968	917
682	1971	914
683	1973	911
684	1975	908
685	1978	905
686	1981	902
687	1983	899
688	1986	896
689	1988	893
690	1991	890
691	1993	887
692	1996	884
693	1998	881
694	2001	878
695	2003	875
696	2006	872
697	2008	869
698	2011	866
699	2014	863
700	2016	860
701	2019	857
702	2021	854
703	2024	851
704	2027	848
705	2029	845
706	2032	842
707	2035	839
708	2037	836
709	2040	833
710	2042	830
711	2045	827
712	2047	824
713	2050	821
714	2053	818
715	2055	815
716	2057	812
717	2060	809
718	2063	806
719	2066	803
720	2068	800
721	2071	797
722	2073	794
723	2076	791
724	2078	788
725	2081	785
726	2083	782
727	2086	779
728	2088	776
729	2091	773
730	2093	770
731	2096	767
732	2098	764
733	2101	761
734	2104	758
735	2106	755
736	2109	752
737	2111	749
738	2114	746
739	2116	743
740	2119	740
741	2121	737
742	2124	734
743	2127	731
744	2130	729
745	2132	726
746	2135	723
747	2137	720
748	2140	717
749	2143	714
750	2145	711
751	2148	708
752	2150	705
753	2152	702
754	2155	699
755	2157	696
756	2160	693
757	2163	690
758	2166	687
759	2168	684
760	2171	681
761	2173	678
762	2176	676
763	2179	673
764	2181	670
765	2184	667
766	2187	664
767	2189	661
768	2192	658
769	2194	655
770	2197	652
771	2199	649
772	2202	646
773	2204	643
774	2207	640
775	2209	637
776	2212	634
777	2214	632
778	2217	629
779	2220	626
780	2222	623
781	2225	620
782	2227	617
783	2230	614
784	2233	611
785	2235	608
786	2238	605
787	2241	602
788	2243	600
789	2246	597
790	2249	594
791	2251	591
792	2254	588
793	2256	585
794	2259	582
795	2262	579
796	2264	576
797	2267	573
798	2269	570
799	2271	567
800	2274	565
801	2276	562
802	2279	559
803	2281	556
804	2284	553
805	2287	550
806	2289	547
807	2292	544
808	2294	541
809	2297	538
810	2299	535
811	2302	533
812	2304	530
813	2307	527
814	2309	524
815	2312	521
816	2315	518
817	2318	515
818	2321	512
819	2323	510
820	2326	507
821	2328	504
822	2331	501
823	2333	498
824	2336	495
825	2338	492
826	2341	489
827	2343	486
828	2346	484
829	2349	481
830	2351	478
831	2354	475
832	2356	472
833	2359	469
834	2361	466
835	2364	463
836	2366	460
837	2369	458
838	2371	455
839	2374	452
840	2377	449
841	2379	446
842	2382	443
843	2385	440
844	2387	437
845	2390	435
846	2392	432
847	2395	429
848	2397	426
849	2400	423
850	2403	420
851	2405	417
852	2408	414
853	2410	412
854	2412	409
855	2415	406
856	2417	403
857	2420	400
858	2423	397
859	2425	394
860	2428	392
861	2430	389
862	2433	386
863	2435	383
864	2438	380
865	2440	377
866	2443	374
867	2445	371
868	2448	369
869	2450	366
870	2453	363
871	2456	360
872	2458	357
873	2461	354
874	2463	351
875	2466	349
876	2468	346
877	2471	343
878	2473	340
879	2476	337
880	2478	334
881	2481	331
882	2484	329
883	2486	326
884	2489	323
885	2491	320
886	2494	317
887	2496	314
888	2499	312
889	2501	309
890	2504	306
891	2507	303
892	2509	300
893	2512	297
894	2515	295
895	2517	292
896	2520	289
897	2522	286
898	2525	283
899	2527	280
900	2530	278
901	2533	275
902	2535	272
903	2538	269
904	2540	266
905	2543	263
906	2545	261
907	2548	258
908	2550	255
909	2553	252
910	2555	249
911	2558	246
912	2561	244
913	2563	241
914	2566	238
915	2568	235
916	2571	232
917	2574	229
918	2576	227
919	2579	224
920	2581	221
921	2584	218
922	2586	215
923	2589	212
924	2592	210
925	2594	207
926	2597	204
927	2599	201
928	2602	198
929	2604	196
930	2607	193
931	2610	190
932	2612	187
933	2615	184
934	2617	181
935	2620	179
936	2623	176
937	2625	173
938	2628	170
939	2630	167
940	2633	165
941	2636	162
942	2638	159
943	2641	156
944	2643	153
945	2646	151
946	2648	148
947	2651	145
948	2653	142
949	2656	139
950	2658	136
951	2661	134
952	2663	131
953	2666	128
954	2669	125
955	2671	122
956	2674	120
957	2676	117
958	2679	114
959	2681	111
960	2684	108
961	2686	106
962	2689	103
963	2692	100
964	2694	97
965	2697	94
966	2700	92
967	2702	89
968	2704	86
969	2707	83
970	2709	80
971	2712	78
972	2715	75
973	2717	72
974	2720	69
975	2723	66
976	2725	64
977	2728	61
978	2731	58
979	2734	55
980	2736	52
981	2738	50
982	2741	47
983	2744	44
984	2746	41
985	2749	39
986	2751	36
987	2754	33
988	2756	30
989	2759	27
990	2762	25
991	2764	22
992	2767	19
993	2770	16
994	2772	13
995	2775	11
996	2778	8
997	2780	5
998	2783	2
999	2786	0
